muestra|Comuna|Fraccion|Radio|Manzana|relevamiento
10017|1|17|1|2|Listado
10047|1|17|1|2|Locales
10027|1|18|5|2|Listado
10024|1|19|2|2|Listado
10028|1|20|2|2|Listado
10017|1|21|2|2|Listado
10035|1|21|2|2|Listado
10024|1|22|1|2|Listado
10030|1|23|3|2|Listado
10017|1|24|2|2|Listado
10039|1|24|2|2|Listado
10024|1|25|2|2|Listado
10024|1|26|2|2|Listado
10024|1|27|2|2|Locales
10024|1|28|1|2|Listado
10030|1|29|1|2|Locales
10030|2|3|2|2|Listado
10009|2|4|3|2|Locales
10042|2|4|3|2|Listado
10027|2|5|7|2|Listado
10010|2|6|1|2|Locales
10042|2|6|1|2|Locales
10030|2|7|2|2|Listado
10017|2|8|4|2|Listado
10039|2|8|4|2|Locales
10017|2|9|2|2|Locales
10042|2|9|2|2|Locales
10017|2|10|4|2|Listado
10042|2|10|4|2|Listado
10017|2|11|3|2|Listado
10039|2|11|3|2|Listado
10036|2|12|3|2|Listado
10017|2|13|3|2|Listado
10042|2|13|3|2|Listado
10027|2|14|1|2|Locales
10017|2|15|2|2|Listado
10042|2|15|2|2|Listado
10036|2|16|2|2|Locales
10017|2|17|2|2|Listado
10035|2|17|2|2|Listado
10027|2|18|5|2|Locales
10027|2|19|2|2|Listado
10036|2|20|2|2|Listado
10024|2|21|2|2|Locales
10049|2|21|2|2|Locales
10024|2|22|4|2|Listado
10049|2|22|4|2|Locales
10012|2|23|2|2|Listado
10042|2|23|2|2|Locales
10011|2|24|3|2|Locales
10042|2|24|3|2|Locales
10036|2|25|2|2|Listado
10024|3|1|2|2|Listado
10049|3|1|2|2|Locales
10017|3|2|2|2|Locales
10041|3|2|2|2|Listado
10021|3|3|2|2|Listado
10049|3|3|2|2|Locales
10024|3|4|2|2|Locales
10049|3|4|2|2|Listado
10024|3|5|1|2|Locales
10049|3|5|1|2|Locales
10024|3|6|2|2|Listado
10049|3|6|2|2|Listado
10017|3|7|2|2|Listado
10039|3|7|2|2|Locales
10041|3|7|2|2|Listado
10030|3|8|2|2|Listado
10024|3|9|1|2|Listado
10049|3|9|1|2|Locales
10024|3|10|2|2|Listado
10049|3|10|2|2|Listado
10024|3|11|2|2|Listado
10049|3|11|2|2|Locales
10030|3|12|2|2|Listado
10024|3|13|2|2|Listado
10049|3|13|2|2|Locales
10017|3|14|2|2|Listado
10037|3|14|2|2|Locales
10017|3|15|4|2|Locales
10037|3|15|4|2|Listado
10030|3|16|2|2|Locales
10024|3|17|2|2|Listado
10049|3|17|2|2|Listado
10024|3|18|3|2|Listado
10049|3|18|3|2|Listado
10036|3|19|2|2|Listado
10024|3|20|2|2|Locales
10049|3|20|2|2|Listado
10026|3|21|1|2|Locales
10030|3|22|2|2|Listado
10024|3|23|2|2|Locales
10049|3|23|2|2|Locales
10017|3|24|2|2|Listado
10037|3|24|2|2|Listado
10019|3|25|2|2|Locales
10049|3|25|2|2|Listado
10026|3|26|2|2|Listado
10017|3|27|2|2|Locales
10037|3|27|2|2|Locales
10024|4|1|1|2|Listado
10028|4|3|1|2|Locales
10028|4|4|1|2|Locales
10024|4|5|2|2|Listado
10017|4|7|1|2|Locales
10032|4|7|1|2|Locales
10012|4|8|2|2|Locales
10045|4|8|2|2|Listado
10019|4|9|1|2|Locales
10017|4|11|1|2|Listado
10045|4|11|1|2|Listado
10028|4|12|3|2|Listado
10024|4|14|9|2|Locales
10030|4|15|1|2|Listado
10017|4|19|3|2|Listado
10045|4|19|3|2|Locales
10017|4|20|1|2|Locales
10045|4|20|1|2|Listado
10017|4|21|1|2|Listado
10045|4|21|1|2|Locales
10030|4|22|1|2|Listado
10017|4|23|1|2|Listado
10045|4|23|1|2|Listado
10017|5|1|6|2|Locales
10035|5|1|6|2|Listado
10026|5|2|1|2|Locales
10017|5|3|2|2|Listado
10035|5|3|2|2|Listado
10030|5|4|1|2|Locales
10017|5|5|4|2|Locales
10037|5|5|4|2|Listado
10009|5|6|2|2|Listado
10037|5|6|2|2|Locales
10017|5|7|1|2|Listado
10037|5|7|1|2|Locales
10026|5|8|2|2|Listado
10017|5|9|2|2|Listado
10037|5|9|2|2|Locales
10017|5|10|2|2|Locales
10037|5|10|2|2|Locales
10017|5|12|7|2|Locales
10037|5|12|7|2|Locales
10009|5|13|1|2|Locales
10037|5|13|1|2|Listado
10027|5|14|2|2|Listado
10017|5|15|2|2|Locales
10037|5|15|2|2|Listado
10020|5|16|7|2|Listado
10049|5|16|7|2|Listado
10030|5|17|5|2|Locales
10017|5|18|1|2|Locales
10037|5|18|1|2|Locales
10039|5|18|1|2|Locales
10017|5|19|1|2|Listado
10037|5|19|1|2|Listado
10027|5|20|2|2|Locales
10030|5|22|1|2|Listado
10017|6|1|1|2|Locales
10038|6|1|1|2|Listado
10009|6|2|5|2|Locales
10038|6|2|5|2|Locales
10020|6|3|2|2|Locales
10049|6|3|2|2|Listado
10024|6|4|1|2|Listado
10049|6|4|1|2|Listado
10017|6|6|6|2|Locales
10038|6|6|6|2|Listado
10017|6|8|4|2|Listado
10038|6|8|4|2|Locales
10030|6|9|5|2|Locales
10017|6|10|1|2|Locales
10032|6|10|1|2|Listado
10017|6|11|1|2|Listado
10046|6|11|1|2|Locales
10010|6|12|3|2|Locales
10046|6|12|3|2|Listado
10030|6|13|2|2|Locales
10024|6|14|2|2|Listado
10049|6|14|2|2|Locales
10017|6|15|2|2|Listado
10046|6|15|2|2|Locales
10017|6|16|2|2|Locales
10046|6|16|2|2|Listado
10030|6|17|2|2|Listado
10024|6|18|2|2|Locales
10049|6|18|2|2|Listado
10017|6|19|2|2|Listado
10046|6|19|2|2|Locales
10017|6|20|2|2|Locales
10046|6|20|2|2|Listado
10027|6|21|2|2|Locales
10013|7|1|1|2|Locales
10046|7|1|1|2|Listado
10017|7|2|1|2|Listado
10046|7|2|1|2|Locales
10030|7|3|2|2|Locales
10024|7|4|2|2|Listado
10024|7|5|9|2|Listado
10030|7|6|4|2|Listado
10017|7|7|2|2|Locales
10046|7|7|2|2|Locales
10017|7|8|2|2|Listado
10046|7|8|2|2|Locales
10017|7|9|9|2|Locales
10046|7|9|9|2|Listado
10017|7|10|1|2|Listado
10046|7|10|1|2|Listado
10017|7|11|4|2|Listado
10046|7|11|4|2|Locales
10030|7|12|1|2|Locales
10017|7|13|1|2|Locales
10046|7|13|1|2|Listado
10030|7|14|1|2|Locales
10020|7|15|2|2|Locales
10017|7|16|1|2|Locales
10039|7|16|1|2|Listado
10045|7|17|1|2|Locales
10024|7|19|2|2|Listado
10009|7|20|1|2|Locales
10046|7|20|1|2|Locales
10017|7|21|1|2|Listado
10047|7|21|1|2|Listado
10017|7|22|3|2|Locales
10039|7|22|3|2|Listado
10017|7|23|2|2|Locales
10047|7|23|2|2|Listado
10017|7|24|1|2|Locales
10047|7|24|1|2|Locales
10024|8|1|2|2|Listado
10024|8|2|3|2|Listado
10027|8|3|1|2|Listado
10027|8|4|1|2|Locales
10030|8|5|1|2|Listado
10017|8|8|3|2|Locales
10049|8|8|3|2|Locales
10024|8|9|1|2|Listado
10024|8|10|1|2|Locales
10030|8|11|1|2|Locales
10030|8|12|1|2|Locales
10018|8|13|1|2|Listado
10024|8|14|3|2|Listado
10024|8|16|2|2|Listado
10018|8|17|2|2|Listado
10017|9|1|7|2|Locales
10039|9|1|7|2|Locales
10030|9|2|1|2|Listado
10017|9|3|2|2|Locales
10035|9|3|2|2|Listado
10030|9|4|1|2|Locales
10017|9|5|2|2|Locales
10046|9|5|2|2|Listado
10017|9|6|1|2|Locales
10034|9|6|1|2|Listado
10024|9|7|1|2|Listado
10050|9|7|1|2|Locales
10024|9|8|3|2|Locales
10050|9|8|3|2|Locales
10030|9|9|3|2|Listado
10030|9|11|1|2|Locales
10017|9|12|1|2|Locales
10043|9|12|1|2|Locales
10024|9|13|3|2|Locales
10050|9|13|3|2|Listado
10017|9|14|1|2|Listado
10043|9|14|1|2|Locales
10010|9|15|1|2|Listado
10043|9|15|1|2|Listado
10017|9|16|2|2|Listado
10039|9|16|2|2|Listado
10009|10|1|1|2|Locales
10043|10|1|1|2|Locales
10024|10|2|1|2|Locales
10050|10|2|1|2|Listado
10028|10|3|2|2|Listado
10017|10|4|1|2|Locales
10035|10|4|1|2|Locales
10024|10|5|1|2|Listado
10050|10|5|1|2|Locales
10024|10|6|1|2|Locales
10050|10|6|1|2|Locales
10017|10|7|2|2|Listado
10043|10|7|2|2|Listado
10030|10|8|1|2|Listado
10030|10|9|1|2|Locales
10017|10|10|1|2|Locales
10043|10|10|1|2|Listado
10024|10|11|1|2|Locales
10050|10|11|1|2|Listado
10013|10|12|1|2|Listado
10043|10|12|1|2|Locales
10024|10|13|1|2|Listado
10050|10|13|1|2|Locales
10017|10|14|2|2|Locales
10043|10|14|2|2|Locales
10024|10|15|1|2|Locales
10050|10|15|1|2|Listado
10017|10|16|1|2|Listado
10043|10|16|1|2|Listado
10030|10|17|2|2|Listado
